Fecha;Descripcion es;Descripcion eu;Lugar es;Lugar eu;Provincia;Codigo Eustat;Latitud;Longitud
 noviembre/azaroa;2º día de Acción de Gracias  ;2. Esker Oneko Eguna;Labastida  ;Labastida  ;Álava - Araba;28;42,590459;-2,792991
24/08/2016;San Bartolomé;Done Bartolome;Lagrán  ;Lagrán  ;Álava - Araba;30;42,626395;-2,583820
24/06/2016;San Juan Bautista;Done Joane;Laguardia  ;Laguardia  ;Álava - Araba;31;42,554278;-2,584237
08/09/2016;Virgen del Campo;Amabirjina;Lanciego  ;Lantziego  ;Álava - Araba;32;42,562619;-2,513204
16/09/2016;Santos Cornelio y Cipriano  ;Done Kornelio eta Done Zipri;Lantarón  ;Lantarón  ;Álava - Araba;902;42,756673;-2,987556
24/08/2016;San Bartolomé;Done Bartolome;Lapuebla de Labarca  ;Lapuebla de Labarca  ;Álava - Araba;33;42,493969;-2,573024
12/09/2016;La Cofradias;Kofradiak;Legutio;Legutiano  ;Álava - Araba;58;42,977822;-2,642724
16/08/2016;San Roque;Done Roke;Leza  ;Leza  ;Álava - Araba;34;42,566068;-2,633635
16/08/2016;San Roque;Done Roke;Llodio  ;Laudio;Álava - Araba;36;43,143333;-2,962985
19/08/2016;Acción de Gracias;Esker Oneko eguna;Moreda de Alava  ;Moreda de Alava  ;Álava - Araba;39;42,528016;-2,407670
02/06/2016;San Juan de Ortega;Done Joane Ortegakoa;Navaridas  ;Nabaridas  ;Álava - Araba;41;42,545171;-2,624532
24/08/2016;San Bartolomé;Done Bartolome;Okondo  ;Okondo  ;Álava - Araba;42;43,162222;-3,018889
22/01/2016;San Vicente y San Anastasio;Done Bikendi eta Done Anastasi;Oyón/Oion  ;Oyón/Oion  ;Álava - Araba;43;42,506137;-2,436965
16/05/2016;San Isidro Labrador;Done Isidro Nekazaria;Peñacerrada  ;Urizaharra;Álava - Araba;44;42,644095;-2,713374
16/05/2016;San Isidro Labrador;Done Isidro Nekazaria;Ribera Alta  ;Erribera Goitia;Álava - Araba;46;42,807222;-2,917500
29/08/2016;Fiesta local;Tokiko jaieguna;Ribera Baja  ;Erribera Beitia;Álava - Araba;47;42,719678;-2,907609
24/06/2016;San Juan;Done Joane;Salvatierra  ;Agurain;Álava - Araba;51;42,852442;-2,389455
08/09/2016;Virgen del Valle;Haranako Andra Maria;Samaniego  ;Samaniego  ;Álava - Araba;52;42,569832;-2,680185
14/11/2016;San Millán;Done Milian;Donemiliaga;San Millán  ;Álava - Araba;53;42,874722;-2,376111
03/10/2016;Nuestra Señora del Rosario;Errosarioko Andra Maria;Urkabustaiz  ;Urkabustaiz  ;Álava - Araba;54;42,971944;-2,922222
16/05/2016;San Isidro;Done Isidro;Valdegovía  ;Valdegovía  ;Álava - Araba;55;42,850000;-3,100000
16/05/2016;San Torcuato;Done Torkuato;Villabuena de Álava  ;Eskuernaga;Álava - Araba;57;42,548717;-2,665456
05/08/2016;Virgen Blanca;Andra Mari Zuria;Vitoria-Gasteiz  ;Vitoria-Gasteiz  ;Álava - Araba;59;42,846406;-2,667893
26/08/2016;Nuestra Señora de Bercijana;Berzijanako Andra Maria;Yécora;Ikeora;Álava - Araba;60;42,569303;-2,470064
11/06/2016;San Kisimos;Hargatiko Eguna;Zalduondo  ;Zalduondo  ;Álava - Araba;61;42,885626;-2,347254
05/08/2016;Santa Lucia;Santa Luzia;Zambrana  ;Zambrana  ;Álava - Araba;62;42,659981;-2,879353
05/08/2016;Eguzki Jaia;Eguzki Jaia;Zigoitia  ;Zigoitia  ;Álava - Araba;18;42,968200;-2,718300
29/09/2016;San Miguel;Done Mikel;Zuia  ;Zuia  ;Álava - Araba;63;42,981667;-2,844000
